,0
PAY_0,0.0317
RISK_RATING,0.0266
PAY_2,0.0172
LIMIT_BAL_LOG,0.0154
BILL_AMT_SUM,0.0146
LIMIT_BAL,0.0143
PAY_3,0.0118
PAY_AMT1,0.0111
PAY_AMT4,0.0094
PAY_AMT2,0.0093
BILL_AMT1,0.0092
PAY_AMT3,0.0088
PAY_4,0.0088
AGE,0.0078
BILL_AMT2,0.0071
PAY_5,0.0071
BILL_AMT6,0.0066
PAY_AMT5,0.0065
PAY_AMT6,0.0064
BILL_AMT4,0.0058
PAY_6,0.0057
CITY_FREQ,0.0055
BILL_AMT5,0.0054
BILL_AMT3,0.0054
MARRIAGE,0.0033
SEX,0.0025
EDUCATION,0.0021
