,default.payment.next.month
risk_leak,0.969
RISK_RATING,0.362
PAY_0,0.314
PAY_2,0.254
PAY_3,0.225
PAY_4,0.208
PAY_5,0.196
PAY_6,0.179
LIMIT_BAL_LOG,-0.157
LIMIT_BAL,-0.087
PAY_AMT1,-0.067
PAY_AMT3,-0.053
PAY_AMT4,-0.053
PAY_AMT5,-0.052
PAY_AMT2,-0.05
PAY_AMT6,-0.049
SEX,-0.036
EDUCATION,0.033
MARRIAGE,-0.026
BILL_AMT1,-0.019
BILL_AMT2,-0.014
BILL_AMT3,-0.014
ID,-0.013
BILL_AMT_SUM,-0.013
AGE,0.011
BILL_AMT4,-0.01
BILL_AMT5,-0.007
BILL_AMT6,-0.006
